"region";"statistikkvariabel";"tid";"Folkemengd og kvartalsvise endringar, etter region, statistikkvariabel og tid"
"0122 Trøgstad";"Utvandring";"2015K4";3
"0122 Trøgstad";"Innflytting, innalandsk";"2015K4";67
"0122 Trøgstad";"Utflytting, innalandsk";"2015K4";80
"0122 Trøgstad";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";-3
"0122 Trøgstad";"Folkevekst";"2015K4";-5
"0122 Trøgstad";"Folketalet ved utgangen av kvartalet";"2015K4";5343
"0123 Spydeberg";"Folketalet ved inngangen av kvartalet";"2015K4";5720
"0123 Spydeberg";"Fødde";"2015K4";13
"0123 Spydeberg";"Døde";"2015K4";14
"0123 Spydeberg";"Fødselsoverskot";"2015K4";-1
"0123 Spydeberg";"Innvandring";"2015K4";20
"0123 Spydeberg";"Utvandring";"2015K4";8
"0123 Spydeberg";"Innflytting, innalandsk";"2015K4";101
"0123 Spydeberg";"Utflytting, innalandsk";"2015K4";95
"0123 Spydeberg";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";18
"0123 Spydeberg";"Folkevekst";"2015K4";16
"0123 Spydeberg";"Folketalet ved utgangen av kvartalet";"2015K4";5736
"0124 Askim";"Folketalet ved inngangen av kvartalet";"2015K4";15574
"0124 Askim";"Fødde";"2015K4";24
"0124 Askim";"Døde";"2015K4";37
"0124 Askim";"Fødselsoverskot";"2015K4";-13
"0124 Askim";"Innvandring";"2015K4";24
"0124 Askim";"Utvandring";"2015K4";9
"0124 Askim";"Innflytting, innalandsk";"2015K4";232
"0124 Askim";"Utflytting, innalandsk";"2015K4";191
"0124 Askim";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";56
"0124 Askim";"Folkevekst";"2015K4";41
"0124 Askim";"Folketalet ved utgangen av kvartalet";"2015K4";15615
"0125 Eidsberg";"Folketalet ved inngangen av kvartalet";"2015K4";11423
"0125 Eidsberg";"Fødde";"2015K4";26
"0125 Eidsberg";"Døde";"2015K4";33
"0125 Eidsberg";"Fødselsoverskot";"2015K4";-7
"0125 Eidsberg";"Innvandring";"2015K4";24
"0125 Eidsberg";"Utvandring";"2015K4";28
"0125 Eidsberg";"Innflytting, innalandsk";"2015K4";151
"0125 Eidsberg";"Utflytting, innalandsk";"2015K4";176
"0125 Eidsberg";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";-29
"0125 Eidsberg";"Folkevekst";"2015K4";-27
"0125 Eidsberg";"Folketalet ved utgangen av kvartalet";"2015K4";11396
"0127 Skiptvet";"Folketalet ved inngangen av kvartalet";"2015K4";3748
"0127 Skiptvet";"Fødde";"2015K4";10
"0127 Skiptvet";"Døde";"2015K4";8
"0127 Skiptvet";"Fødselsoverskot";"2015K4";2
"0127 Skiptvet";"Innvandring";"2015K4";2
"0127 Skiptvet";"Utvandring";"2015K4";10
"0127 Skiptvet";"Innflytting, innalandsk";"2015K4";43
"0127 Skiptvet";"Utflytting, innalandsk";"2015K4";42
"0127 Skiptvet";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";-7
"0127 Skiptvet";"Folkevekst";"2015K4";-6
"0127 Skiptvet";"Folketalet ved utgangen av kvartalet";"2015K4";3742
"0128 Rakkestad";"Folketalet ved inngangen av kvartalet";"2015K4";8023
"0128 Rakkestad";"Fødde";"2015K4";21
"0128 Rakkestad";"Døde";"2015K4";22
"0128 Rakkestad";"Fødselsoverskot";"2015K4";-1
"0128 Rakkestad";"Innvandring";"2015K4";24
"0128 Rakkestad";"Utvandring";"2015K4";6
"0128 Rakkestad";"Innflytting, innalandsk";"2015K4";129
"0128 Rakkestad";"Utflytting, innalandsk";"2015K4";85
"0128 Rakkestad";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";62
"0128 Rakkestad";"Folkevekst";"2015K4";61
"0128 Rakkestad";"Folketalet ved utgangen av kvartalet";"2015K4";8084
"0135 Råde";"Folketalet ved inngangen av kvartalet";"2015K4";7336
"0135 Råde";"Fødde";"2015K4";18
"0135 Råde";"Døde";"2015K4";15
"0135 Råde";"Fødselsoverskot";"2015K4";3
"0135 Råde";"Innvandring";"2015K4";19
"0135 Råde";"Utvandring";"2015K4";7
"0135 Råde";"Innflytting, innalandsk";"2015K4";110
"0135 Råde";"Utflytting, innalandsk";"2015K4";102
"0135 Råde";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";20
"0135 Råde";"Folkevekst";"2015K4";21
"0135 Råde";"Folketalet ved utgangen av kvartalet";"2015K4";7357
"0136 Rygge";"Folketalet ved inngangen av kvartalet";"2015K4";15362
"0136 Rygge";"Fødde";"2015K4";34
"0136 Rygge";"Døde";"2015K4";31
"0136 Rygge";"Fødselsoverskot";"2015K4";3
"0136 Rygge";"Innvandring";"2015K4";19
"0136 Rygge";"Utvandring";"2015K4";10
"0136 Rygge";"Innflytting, innalandsk";"2015K4";270
"0136 Rygge";"Utflytting, innalandsk";"2015K4";187
"0136 Rygge";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";92
"0136 Rygge";"Folkevekst";"2015K4";96
"0136 Rygge";"Folketalet ved utgangen av kvartalet";"2015K4";15458
"0137 Våler (Østf.)";"Folketalet ved inngangen av kvartalet";"2015K4";5157
"0137 Våler (Østf.)";"Fødde";"2015K4";12
"0137 Våler (Østf.)";"Døde";"2015K4";7
"0137 Våler (Østf.)";"Fødselsoverskot";"2015K4";5
"0137 Våler (Østf.)";"Innvandring";"2015K4";13
"0137 Våler (Østf.)";"Utvandring";"2015K4";2
"0137 Våler (Østf.)";"Innflytting, innalandsk";"2015K4";87
"0137 Våler (Østf.)";"Utflytting, innalandsk";"2015K4";74
"0137 Våler (Østf.)";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";24
"0137 Våler (Østf.)";"Folkevekst";"2015K4";29
"0137 Våler (Østf.)";"Folketalet ved utgangen av kvartalet";"2015K4";5186
"0138 Hobøl";"Folketalet ved inngangen av kvartalet";"2015K4";5347
"0138 Hobøl";"Fødde";"2015K4";14
"0138 Hobøl";"Døde";"2015K4";10
"0138 Hobøl";"Fødselsoverskot";"2015K4";4
"0138 Hobøl";"Innvandring";"2015K4";28
"0138 Hobøl";"Utvandring";"2015K4";8
"0138 Hobøl";"Innflytting, innalandsk";"2015K4";115
"0138 Hobøl";"Utflytting, innalandsk";"2015K4";104
"0138 Hobøl";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";31
"0138 Hobøl";"Folkevekst";"2015K4";35
"0138 Hobøl";"Folketalet ved utgangen av kvartalet";"2015K4";5382
"0211 Vestby";"Folketalet ved inngangen av kvartalet";"2015K4";16589
"0211 Vestby";"Fødde";"2015K4";40
"0211 Vestby";"Døde";"2015K4";21
"0211 Vestby";"Fødselsoverskot";"2015K4";19
"0211 Vestby";"Innvandring";"2015K4";45
"0211 Vestby";"Utvandring";"2015K4";29
"0211 Vestby";"Innflytting, innalandsk";"2015K4";322
"0211 Vestby";"Utflytting, innalandsk";"2015K4";217
"0211 Vestby";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";121
"0211 Vestby";"Folkevekst";"2015K4";143
"0211 Vestby";"Folketalet ved utgangen av kvartalet";"2015K4";16732
"0213 Ski";"Folketalet ved inngangen av kvartalet";"2015K4";30139
"0213 Ski";"Fødde";"2015K4";60
"0213 Ski";"Døde";"2015K4";35
"0213 Ski";"Fødselsoverskot";"2015K4";25
"0213 Ski";"Innvandring";"2015K4";72
"0213 Ski";"Utvandring";"2015K4";39
"0213 Ski";"Innflytting, innalandsk";"2015K4";446
"0213 Ski";"Utflytting, innalandsk";"2015K4";375
"0213 Ski";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";104
"0213 Ski";"Folkevekst";"2015K4";122
"0213 Ski";"Folketalet ved utgangen av kvartalet";"2015K4";30261
"0214 Ås";"Folketalet ved inngangen av kvartalet";"2015K4";18920
"0214 Ås";"Fødde";"2015K4";49
"0214 Ås";"Døde";"2015K4";23
"0214 Ås";"Fødselsoverskot";"2015K4";26
"0214 Ås";"Innvandring";"2015K4";105
"0214 Ås";"Utvandring";"2015K4";76
"0214 Ås";"Innflytting, innalandsk";"2015K4";340
"0214 Ås";"Utflytting, innalandsk";"2015K4";327
"0214 Ås";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";42
"0214 Ås";"Folkevekst";"2015K4";72
"0214 Ås";"Folketalet ved utgangen av kvartalet";"2015K4";18992
"0215 Frogn";"Folketalet ved inngangen av kvartalet";"2015K4";15646
"0215 Frogn";"Fødde";"2015K4";28
"0215 Frogn";"Døde";"2015K4";32
"0215 Frogn";"Fødselsoverskot";"2015K4";-4
"0215 Frogn";"Innvandring";"2015K4";35
"0215 Frogn";"Utvandring";"2015K4";11
"0215 Frogn";"Innflytting, innalandsk";"2015K4";226
"0215 Frogn";"Utflytting, innalandsk";"2015K4";197
"0215 Frogn";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";53
"0215 Frogn";"Folkevekst";"2015K4";49
"0215 Frogn";"Folketalet ved utgangen av kvartalet";"2015K4";15695
"0216 Nesodden";"Folketalet ved inngangen av kvartalet";"2015K4";18597
"0216 Nesodden";"Fødde";"2015K4";48
"0216 Nesodden";"Døde";"2015K4";29
"0216 Nesodden";"Fødselsoverskot";"2015K4";19
"0216 Nesodden";"Innvandring";"2015K4";38
"0216 Nesodden";"Utvandring";"2015K4";22
"0216 Nesodden";"Innflytting, innalandsk";"2015K4";191
"0216 Nesodden";"Utflytting, innalandsk";"2015K4";202
"0216 Nesodden";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";5
"0216 Nesodden";"Folkevekst";"2015K4";26
"0216 Nesodden";"Folketalet ved utgangen av kvartalet";"2015K4";18623
"0217 Oppegård";"Folketalet ved inngangen av kvartalet";"2015K4";26852
"0217 Oppegård";"Fødde";"2015K4";46
"0217 Oppegård";"Døde";"2015K4";48
"0217 Oppegård";"Fødselsoverskot";"2015K4";-2
"0217 Oppegård";"Innvandring";"2015K4";70
"0217 Oppegård";"Utvandring";"2015K4";35
"0217 Oppegård";"Innflytting, innalandsk";"2015K4";256
"0217 Oppegård";"Utflytting, innalandsk";"2015K4";351
"0217 Oppegård";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";-60
"0217 Oppegård";"Folkevekst";"2015K4";-60
"0217 Oppegård";"Folketalet ved utgangen av kvartalet";"2015K4";26792
"0219 Bærum";"Folketalet ved inngangen av kvartalet";"2015K4";122062
"0219 Bærum";"Fødde";"2015K4";311
"0219 Bærum";"Døde";"2015K4";208
"0219 Bærum";"Fødselsoverskot";"2015K4";103
"0219 Bærum";"Innvandring";"2015K4";370
"0219 Bærum";"Utvandring";"2015K4";358
"0219 Bærum";"Innflytting, innalandsk";"2015K4";1518
"0219 Bærum";"Utflytting, innalandsk";"2015K4";1339
"0219 Bærum";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";191
"0219 Bærum";"Folkevekst";"2015K4";286
"0219 Bærum";"Folketalet ved utgangen av kvartalet";"2015K4";122348
"0220 Asker";"Folketalet ved inngangen av kvartalet";"2015K4";60026
"0220 Asker";"Fødde";"2015K4";126
"0220 Asker";"Døde";"2015K4";99
"0220 Asker";"Fødselsoverskot";"2015K4";27
"0220 Asker";"Innvandring";"2015K4";197
"0220 Asker";"Utvandring";"2015K4";151
"0220 Asker";"Innflytting, innalandsk";"2015K4";740
"0220 Asker";"Utflytting, innalandsk";"2015K4";729
"0220 Asker";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";57
"0220 Asker";"Folkevekst";"2015K4";80
"0220 Asker";"Folketalet ved utgangen av kvartalet";"2015K4";60106
"0221 Aurskog-Høland";"Folketalet ved inngangen av kvartalet";"2015K4";15870
"0221 Aurskog-Høland";"Fødde";"2015K4";45
"0221 Aurskog-Høland";"Døde";"2015K4";38
"0221 Aurskog-Høland";"Fødselsoverskot";"2015K4";7
"0221 Aurskog-Høland";"Innvandring";"2015K4";10
"0221 Aurskog-Høland";"Utvandring";"2015K4";15
"0221 Aurskog-Høland";"Innflytting, innalandsk";"2015K4";182
"0221 Aurskog-Høland";"Utflytting, innalandsk";"2015K4";143
"0221 Aurskog-Høland";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";34
"0221 Aurskog-Høland";"Folkevekst";"2015K4";44
"0221 Aurskog-Høland";"Folketalet ved utgangen av kvartalet";"2015K4";15914
"0226 Sørum";"Folketalet ved inngangen av kvartalet";"2015K4";17293
"0226 Sørum";"Fødde";"2015K4";55
"0226 Sørum";"Døde";"2015K4";27
"0226 Sørum";"Fødselsoverskot";"2015K4";28
"0226 Sørum";"Innvandring";"2015K4";49
"0226 Sørum";"Utvandring";"2015K4";22
"0226 Sørum";"Innflytting, innalandsk";"2015K4";323
"0226 Sørum";"Utflytting, innalandsk";"2015K4";225
"0226 Sørum";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";125
"0226 Sørum";"Folkevekst";"2015K4";150
"0226 Sørum";"Folketalet ved utgangen av kvartalet";"2015K4";17443
"0227 Fet";"Folketalet ved inngangen av kvartalet";"2015K4";11315
"0227 Fet";"Fødde";"2015K4";26
"0227 Fet";"Døde";"2015K4";18
"0227 Fet";"Fødselsoverskot";"2015K4";8
"0227 Fet";"Innvandring";"2015K4";12
"0227 Fet";"Utvandring";"2015K4";8
"0227 Fet";"Innflytting, innalandsk";"2015K4";216
"0227 Fet";"Utflytting, innalandsk";"2015K4";171
"0227 Fet";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";49
"0227 Fet";"Folkevekst";"2015K4";59
"0227 Fet";"Folketalet ved utgangen av kvartalet";"2015K4";11374
"0228 Rælingen";"Folketalet ved inngangen av kvartalet";"2015K4";17429
"0228 Rælingen";"Fødde";"2015K4";53
"0228 Rælingen";"Døde";"2015K4";24
"0228 Rælingen";"Fødselsoverskot";"2015K4";29
"0228 Rælingen";"Innvandring";"2015K4";34
"0228 Rælingen";"Utvandring";"2015K4";31
"0228 Rælingen";"Innflytting, innalandsk";"2015K4";283
"0228 Rælingen";"Utflytting, innalandsk";"2015K4";314
"0228 Rælingen";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";-28
"0228 Rælingen";"Folkevekst";"2015K4";-3
"0228 Rælingen";"Folketalet ved utgangen av kvartalet";"2015K4";17426
"0229 Enebakk";"Folketalet ved inngangen av kvartalet";"2015K4";10802
"0229 Enebakk";"Fødde";"2015K4";20
"0229 Enebakk";"Døde";"2015K4";14
"0229 Enebakk";"Fødselsoverskot";"2015K4";6
"0229 Enebakk";"Innvandring";"2015K4";21
"0229 Enebakk";"Utvandring";"2015K4";4
"0229 Enebakk";"Innflytting, innalandsk";"2015K4";149
"0229 Enebakk";"Utflytting, innalandsk";"2015K4";102
"0229 Enebakk";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";64
"0229 Enebakk";"Folkevekst";"2015K4";68
"0229 Enebakk";"Folketalet ved utgangen av kvartalet";"2015K4";10870
"0230 Lørenskog";"Folketalet ved inngangen av kvartalet";"2015K4";36146
"0230 Lørenskog";"Fødde";"2015K4";86
"0230 Lørenskog";"Døde";"2015K4";52
"0230 Lørenskog";"Fødselsoverskot";"2015K4";34
"0230 Lørenskog";"Innvandring";"2015K4";84
"0230 Lørenskog";"Utvandring";"2015K4";67
"0230 Lørenskog";"Innflytting, innalandsk";"2015K4";688
"0230 Lørenskog";"Utflytting, innalandsk";"2015K4";515
"0230 Lørenskog";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";190
"0230 Lørenskog";"Folkevekst";"2015K4";222
"0230 Lørenskog";"Folketalet ved utgangen av kvartalet";"2015K4";36368
"0231 Skedsmo";"Folketalet ved inngangen av kvartalet";"2015K4";52338
"0231 Skedsmo";"Fødde";"2015K4";140
"0231 Skedsmo";"Døde";"2015K4";90
"0231 Skedsmo";"Fødselsoverskot";"2015K4";50
"0231 Skedsmo";"Innvandring";"2015K4";148
"0231 Skedsmo";"Utvandring";"2015K4";82
"0231 Skedsmo";"Innflytting, innalandsk";"2015K4";906
"0231 Skedsmo";"Utflytting, innalandsk";"2015K4";833
"0231 Skedsmo";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";139
"0231 Skedsmo";"Folkevekst";"2015K4";184
"0231 Skedsmo";"Folketalet ved utgangen av kvartalet";"2015K4";52522
"0233 Nittedal";"Folketalet ved inngangen av kvartalet";"2015K4";22823
"0233 Nittedal";"Fødde";"2015K4";45
"0233 Nittedal";"Døde";"2015K4";33
"0233 Nittedal";"Fødselsoverskot";"2015K4";12
"0233 Nittedal";"Innvandring";"2015K4";42
"0233 Nittedal";"Utvandring";"2015K4";20
"0233 Nittedal";"Innflytting, innalandsk";"2015K4";279
"0233 Nittedal";"Utflytting, innalandsk";"2015K4";282
"0233 Nittedal";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";19
"0233 Nittedal";"Folkevekst";"2015K4";34
"0233 Nittedal";"Folketalet ved utgangen av kvartalet";"2015K4";22857
"0234 Gjerdrum";"Folketalet ved inngangen av kvartalet";"2015K4";6323
"0234 Gjerdrum";"Fødde";"2015K4";8
"0234 Gjerdrum";"Døde";"2015K4";10
"0234 Gjerdrum";"Fødselsoverskot";"2015K4";-2
"0234 Gjerdrum";"Innvandring";"2015K4";12
"0234 Gjerdrum";"Utvandring";"2015K4";13
"0234 Gjerdrum";"Innflytting, innalandsk";"2015K4";83
"0234 Gjerdrum";"Utflytting, innalandsk";"2015K4";82
"0234 Gjerdrum";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";0
"0234 Gjerdrum";"Folkevekst";"2015K4";0
"0234 Gjerdrum";"Folketalet ved utgangen av kvartalet";"2015K4";6323
"0235 Ullensaker";"Folketalet ved inngangen av kvartalet";"2015K4";34006
"0235 Ullensaker";"Fødde";"2015K4";100
"0235 Ullensaker";"Døde";"2015K4";61
"0235 Ullensaker";"Fødselsoverskot";"2015K4";39
"0235 Ullensaker";"Innvandring";"2015K4";119
"0235 Ullensaker";"Utvandring";"2015K4";63
"0235 Ullensaker";"Innflytting, innalandsk";"2015K4";585
"0235 Ullensaker";"Utflytting, innalandsk";"2015K4";497
"0235 Ullensaker";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";144
"0235 Ullensaker";"Folkevekst";"2015K4";183
"0235 Ullensaker";"Folketalet ved utgangen av kvartalet";"2015K4";34189
"0236 Nes (Ak.)";"Folketalet ved inngangen av kvartalet";"2015K4";20669
"0236 Nes (Ak.)";"Fødde";"2015K4";51
"0236 Nes (Ak.)";"Døde";"2015K4";36
"0236 Nes (Ak.)";"Fødselsoverskot";"2015K4";15
"0236 Nes (Ak.)";"Innvandring";"2015K4";26
"0236 Nes (Ak.)";"Utvandring";"2015K4";38
"0236 Nes (Ak.)";"Innflytting, innalandsk";"2015K4";371
"0236 Nes (Ak.)";"Utflytting, innalandsk";"2015K4";257
"0236 Nes (Ak.)";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";102
"0236 Nes (Ak.)";"Folkevekst";"2015K4";114
"0236 Nes (Ak.)";"Folketalet ved utgangen av kvartalet";"2015K4";20783
"0237 Eidsvoll";"Folketalet ved inngangen av kvartalet";"2015K4";23648
"0237 Eidsvoll";"Fødde";"2015K4";54
"0237 Eidsvoll";"Døde";"2015K4";36
"0237 Eidsvoll";"Fødselsoverskot";"2015K4";18
"0237 Eidsvoll";"Innvandring";"2015K4";42
"0237 Eidsvoll";"Utvandring";"2015K4";28
"0237 Eidsvoll";"Innflytting, innalandsk";"2015K4";384
"0237 Eidsvoll";"Utflytting, innalandsk";"2015K4";256
"0237 Eidsvoll";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";142
"0237 Eidsvoll";"Folkevekst";"2015K4";163
"0237 Eidsvoll";"Folketalet ved utgangen av kvartalet";"2015K4";23811
"0238 Nannestad";"Folketalet ved inngangen av kvartalet";"2015K4";12204
"0238 Nannestad";"Fødde";"2015K4";20
"0238 Nannestad";"Døde";"2015K4";17
"0238 Nannestad";"Fødselsoverskot";"2015K4";3
"0238 Nannestad";"Innvandring";"2015K4";26
"0238 Nannestad";"Utvandring";"2015K4";15
"0238 Nannestad";"Innflytting, innalandsk";"2015K4";275
"0238 Nannestad";"Utflytting, innalandsk";"2015K4";228
"0238 Nannestad";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";58
"0238 Nannestad";"Folkevekst";"2015K4";63
"0238 Nannestad";"Folketalet ved utgangen av kvartalet";"2015K4";12267
"0239 Hurdal";"Folketalet ved inngangen av kvartalet";"2015K4";2815
"0239 Hurdal";"Fødde";"2015K4";8
"0239 Hurdal";"Døde";"2015K4";9
"0239 Hurdal";"Fødselsoverskot";"2015K4";-1
"0239 Hurdal";"Innvandring";"2015K4";4
"0239 Hurdal";"Utvandring";"2015K4";2
"0239 Hurdal";"Innflytting, innalandsk";"2015K4";66
"0239 Hurdal";"Utflytting, innalandsk";"2015K4";45
"0239 Hurdal";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";23
"0239 Hurdal";"Folkevekst";"2015K4";22
"0239 Hurdal";"Folketalet ved utgangen av kvartalet";"2015K4";2837
"0301 Oslo kommune";"Folketalet ved inngangen av kvartalet";"2015K4";656614
"0301 Oslo kommune";"Fødde";"2015K4";2178
"0301 Oslo kommune";"Døde";"2015K4";1029
"0301 Oslo kommune";"Fødselsoverskot";"2015K4";1149
"0301 Oslo kommune";"Innvandring";"2015K4";3638
"0301 Oslo kommune";"Utvandring";"2015K4";2771
"0301 Oslo kommune";"Innflytting, innalandsk";"2015K4";6242
"0301 Oslo kommune";"Utflytting, innalandsk";"2015K4";6489
"0301 Oslo kommune";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";620
"0301 Oslo kommune";"Folkevekst";"2015K4";1776
"0301 Oslo kommune";"Folketalet ved utgangen av kvartalet";"2015K4";658390
"0402 Kongsvinger";"Folketalet ved inngangen av kvartalet";"2015K4";17829
"0402 Kongsvinger";"Fødde";"2015K4";40
"0402 Kongsvinger";"Døde";"2015K4";45
"0402 Kongsvinger";"Fødselsoverskot";"2015K4";-5
"0402 Kongsvinger";"Innvandring";"2015K4";30
"0402 Kongsvinger";"Utvandring";"2015K4";15
